     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  3.678238029E+012   2.9162E-001   1.2973E+004   5.9135E-013  -2.7630E-009   2.3475E-007   1.2416E-006   1.5780E-009   0.0000E+000   1.4780E-006   4.5951E-004   4.6596E-002   1.2323E+000   2.7656E-007   1.2529E-003   0.0000E+000   1.2801E+000   2.7872E-004 
  5.802039072E+012   4.6124E-001   1.2962E+004   5.9135E-013  -4.3251E-009   2.3451E-007   1.2419E-006   1.5813E-009   0.0000E+000   1.4780E-006   4.5952E-004   4.6498E-002   1.2312E+000   2.7088E-007   1.2542E-003   0.0000E+000   1.2790E+000   2.7818E-004 
  1.113278928E+013   8.8779E-001   1.2934E+004   5.9135E-013  -8.1679E-009   2.3388E-007   1.2425E-006   1.5899E-009   0.0000E+000   1.4780E-006   4.5955E-004   4.6249E-002   1.2285E+000   2.5845E-007   1.2576E-003   0.0000E+000   1.2760E+000   2.7687E-004 
  2.004456431E+013   1.6035E+000   1.2885E+004   5.9135E-013  -1.5062E-008   2.3280E-007   1.2436E-006   1.6045E-009   0.0000E+000   1.4780E-006   4.5961E-004   4.5826E-002   1.2239E+000   2.4127E-007   1.2634E-003   0.0000E+000   1.2710E+000   2.7476E-004 
  2.245058906E+013   1.7973E+000   1.2872E+004   5.9135E-013  -1.6749E-008   2.3251E-007   1.2439E-006   1.6086E-009   0.0000E+000   1.4780E-006   4.5963E-004   4.5710E-002   1.2227E+000   2.3726E-007   1.2650E-003   0.0000E+000   1.2696E+000   2.7420E-004 
  2.485661380E+013   1.9913E+000   1.2859E+004   5.9135E-013  -1.8425E-008   2.3221E-007   1.2441E-006   1.6127E-009   0.0000E+000   1.4780E-006   4.5965E-004   4.5593E-002   1.2214E+000   2.3348E-007   1.2666E-003   0.0000E+000   1.2682E+000   2.7366E-004 
  2.673989793E+013   2.1434E+000   1.2848E+004   5.9135E-013  -1.9730E-008   2.3198E-007   1.2444E-006   1.6159E-009   0.0000E+000   1.4780E-006   4.5967E-004   4.5502E-002   1.2204E+000   2.3067E-007   1.2678E-003   0.0000E+000   1.2672E+000   2.7324E-004 
  2.793414326E+013   2.2399E+000   1.2841E+004   5.9135E-013  -2.0554E-008   2.3183E-007   1.2445E-006   1.6180E-009   0.0000E+000   1.4780E-006   4.5968E-004   4.5444E-002   1.2197E+000   2.2895E-007   1.2687E-003   0.0000E+000   1.2665E+000   2.7297E-004 
  2.866338150E+013   2.2988E+000   1.2837E+004   5.9135E-013  -2.1056E-008   2.3174E-007   1.2446E-006   1.6193E-009   0.0000E+000   1.4780E-006   4.5969E-004   4.5408E-002   1.2194E+000   2.2792E-007   1.2691E-003   0.0000E+000   1.2660E+000   2.7281E-004 
  2.925507211E+013   2.3467E+000   1.2834E+004   5.9135E-013  -2.1463E-008   2.3167E-007   1.2447E-006   1.6203E-009   0.0000E+000   1.4780E-006   4.5970E-004   4.5379E-002   1.2190E+000   2.2710E-007   1.2696E-003   0.0000E+000   1.2657E+000   2.7268E-004 
  3.331270454E+013   2.6752E+000   1.2811E+004   5.9135E-013  -2.4232E-008   2.3116E-007   1.2452E-006   1.6275E-009   0.0000E+000   1.4780E-006   4.5974E-004   4.5179E-002   1.2168E+000   2.2179E-007   1.2724E-003   0.0000E+000   1.2633E+000   2.7180E-004 
  4.069661713E+013   3.2751E+000   1.2768E+004   5.9135E-013  -2.9240E-008   2.3021E-007   1.2461E-006   1.6409E-009   0.0000E+000   1.4780E-006   4.5984E-004   4.4810E-002   1.2128E+000   2.1330E-007   1.2776E-003   0.0000E+000   1.2589E+000   2.7024E-004 
  5.673509381E+013   4.5866E+000   1.2670E+004   5.9135E-013  -3.9302E-008   2.2808E-007   1.2482E-006   1.6718E-009   0.0000E+000   1.4780E-006   4.6015E-004   4.3982E-002   1.2035E+000   1.9912E-007   1.2896E-003   0.0000E+000   1.2488E+000   2.6697E-004 
  7.051370447E+013   5.7235E+000   1.2582E+004   5.9135E-013  -4.8164E-008   2.2614E-007   1.2501E-006   1.7005E-009   0.0000E+000   1.4780E-006   4.6052E-004   4.3239E-002   1.1952E+000   1.9047E-007   1.3006E-003   0.0000E+000   1.2397E+000   2.6433E-004 
